ID,Start time,Completion time,Email,Name,What is your gender?,What is your age?,What is your current level of education?,What was the table about?,  When did you read this table?,How many times had you looked at that table before?,What did you do with the table?  Check all that apply,What kinds of tables do you usually look at on your phone? (check all that apply),What kind of Table is this survey asking about?,Reading tables on phones is generally,"If a table you want to read is hard to read on your phone, are you most likely to",What do you find hard about reading tables on your phone? (check all that apply),What would make it easier to look at tables on your phone?
150,6/9/21 10:10:18,6/9/21 10:12:29,anonymous,,Male,25,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Analyze/compare rows or columns;Locate specific information;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Easy,Use your phone anyway,Text is too small;Text is too close together;,separate by rows and columns
151,6/9/21 10:12:25,6/9/21 10:12:56,anonymous,,Male,32,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Analyze/compare rows or columns;Locate specific information;,Nutrition / Ingredient list / Dosage chart;Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Easy,Give up and not read the table,Hard to tell what text is in what row;,good
152,6/9/21 10:10:34,6/9/21 10:12:56,anonymous,,Male,37,Undergraduate Student,Product Specifications,In the last week,More than once,Analyze/compare rows or columns;Read the entire table word for word;,Product Specifications;Restaurant Menu;,Text/Numbers arranged in rows and columns,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Hard to tell what text is in what row;Hard to tell what text is in what column;,Not losing quality when you zoom in.
153,6/9/21 10:08:02,6/9/21 10:13:01,anonymous,,Male,35,Graduate Degree,Finance / Money / Receipt / Invoice,In the last week,Never,Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too small;Can’t see all the information I need at the same time;Text is too close together;Hard to tell what text is in what row;Hard to tell what text is in what column;,"Well, that's a hard question, i think the physical limitation is very hard to overcome, maybe tables aren't really for cellphones and another kind of design is needed for them, the most annoying thing is not being able to identify what line or row the item belongs too, maybe if somehow that was always acessible without we having to scroll through the screen would be good. "
154,6/9/21 10:11:25,6/9/21 10:13:02,anonymous,,Female,31,High School Diploma or GED,Nutrition / Ingredient list / Dosage chart,In the last day,Once,Read the entire table word for word;Locate specific information;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too close together;Hard to tell what text is in what row;,To make the font bigger
155,6/9/21 10:09:28,6/9/21 10:13:13,anonymous,,Male,33,High School Diploma or GED,Nutrition / Ingredient list / Dosage chart,More than a month ago,Once,Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;,"What you eat your breakfast, lunch, or dinner on",Very Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,improve zoom handling
156,6/9/21 10:05:41,6/9/21 10:13:15,anonymous,,Male,28,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Read the entire table word for word;Locate specific information;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Easy,Use your phone anyway,Can’t see all the information I need at the same time;Table is too wide or too tall for screen;Text is too close together;,ZOOMING OPTION
157,6/9/21 10:11:24,6/9/21 10:13:22,anonymous,,Male,47,Bachelor's Degree,Product Specifications,In the last day,More than once,Locate specific information;Analyze/compare rows or columns;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;Text is too close together;Hard to tell what text is in what row;Hard to tell what text is in what column;,I want phones with even bigger screens.  
158,6/9/21 10:05:04,6/9/21 10:13:27,anonymous,,Male,29,Graduate Degree,Restaurant Menu,In the last day,More than once,Locate specific information;Read the entire table word for word;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too small;,"Tap Insert table. The table will be added to your document.
"
159,6/9/21 10:07:12,6/9/21 10:13:34,anonymous,,Male,28,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Easy,Use your phone anyway,Table is too wide or too tall for screen;Hard to tell what text is in what row;Text is too small;,Zooming Option
160,6/9/21 10:07:52,6/9/21 10:13:41,anonymous,,Female,32,Graduate Degree,Product Specifications,In the last month,Once,Read the entire table word for word;Locate specific information;Analyze/compare rows or columns;,Product Specifications;,Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;,"I think it will be easier if I can see all information regardless of my screen orientation. And I don't have to scroll left/right to read all information on the table, especially when I'm viewing the product comparison table on websites."
161,6/9/21 10:12:39,6/9/21 10:13:47,anonymous,,Male,32,Graduate Degree,Restaurant Menu,In the last week,Once,Locate specific information;,Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,A piece of furniture with a flat top and one or more legs,Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Can’t see all the information I need at the same time;Text is too close together;,nice
162,6/9/21 10:10:28,6/9/21 10:14:14,anonymous,,Male,27,Graduate Degree,Product Specifications,In the last week,Never,Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Product Specifications;,Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;,Table that changes its structure according to phone screen size
163,6/9/21 10:11:09,6/9/21 10:14:54,anonymous,,Male,28,Bachelor's Degree,Restaurant Menu,In the last day,More than once,Read the entire table word for word;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,Use your phone anyway,Text is too small;,zoom and large words
164,6/9/21 10:12:25,6/9/21 10:14:54,anonymous,,Male,30,Bachelor's Degree,Restaurant Menu,In the last day,Once,Read the entire table word for word;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,Use your phone anyway,Text is too small;,ZOOM AND LARGE WORDS
165,6/9/21 10:13:34,6/9/21 10:14:59,anonymous,,Male,42,Bachelor's Degree,Restaurant Menu,In the last week,Never,Read the entire table word for word;Locate specific information;,Restaurant Menu;,A piece of furniture with a flat top and one or more legs,Very Easy,Give up and not read the table,Table is too wide or too tall for screen;,good informations
166,6/9/21 10:11:52,6/9/21 10:15:00,anonymous,,Female,39,Bachelor's Degree,Product Specifications,In the last week,Never,Locate specific information;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Neither Easy nor Hard,Use your phone anyway,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Hard to tell what text is in what row;Hard to tell what text is in what column;,Just making sure that I am able to zoom in on the table. I have encountered a few that distort when I try and zoom in.
167,6/9/21 10:10:59,6/9/21 10:15:07,anonymous,,Male,28,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Never,Read the entire table word for word;Analyze/compare rows or columns;Locate specific information;,Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too close together;Text is too small;Hard to tell what text is in what row;Hard to tell what text is in what column;,The tables text is very small unable to see on the phone.
168,6/9/21 10:14:22,6/9/21 10:15:21,anonymous,,Male,28,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Easy,Use your phone anyway,Table is too wide or too tall for screen;Text is too small;Hard to tell what text is in what row;,Zooming Options
169,6/9/21 10:12:51,6/9/21 10:15:46,anonymous,,Male,30,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Hard,Use your phone anyway,Text is too small;,Zooming the table.
170,6/9/21 10:10:56,6/9/21 10:15:50,anonymous,,Male,34,Undergraduate Student,Nutrition / Ingredient list / Dosage chart,In the last month,Once,Locate specific information;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Can’t see all the information I need at the same time;Text is too small;,If there was a better way to format rows and columns to universally fit all screen sizes while not compromising text size.
171,6/9/21 10:10:02,6/9/21 10:15:53,anonymous,,Male,27,Graduate Degree,Product Specifications,In the last day,Never,Locate specific information;,Product Specifications;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,"Nutrient content table, restaurant menu, product information",Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,I think we need to zoom the page 
172,6/9/21 10:11:18,6/9/21 10:15:54,anonymous,,Male,27,Graduate Degree,Product Specifications,In the last day,Once,Read the entire table word for word;,Finance / Money / Receipt / Invoice;,"What you eat your breakfast, lunch, or dinner on",Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;,Website
173,6/9/21 10:01:46,6/9/21 10:16:01,anonymous,,Male,28,Graduate Degree,Restaurant Menu,In the last day,Once,Read the entire table word for word;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,zoom and large size
174,6/9/21 10:14:25,6/9/21 10:16:08,anonymous,,Male,28,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Read the entire table word for word;Locate specific information;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Easy,Use your phone anyway,Text is too small;Text is too close together;,ZOOMING OPTION
175,6/9/21 10:05:34,6/9/21 10:16:17,anonymous,,Male,42,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Read the entire table word for word;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;Finance / Money / Receipt / Invoice;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,Use your phone anyway,Table is too wide or too tall for screen;Hard to tell what text is in what row;,EASY TO ZOOM IN ZOOM OUT 
176,6/9/21 10:05:32,6/9/21 10:16:35,anonymous,,Female,33,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;,A website that has lots of information on it,Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,FONTS HAS TO BE BIG.
177,6/9/21 10:14:20,6/9/21 10:16:41,anonymous,,Male,34,incomplete college,Nutrition / Ingredient list / Dosage chart,In the last month,More than once,Locate specific information;Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;Product Specifications;,Text/Numbers arranged in rows and columns,Very Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;,Clearer font styles. Better contrast between background and foreground.
178,6/9/21 10:09:02,6/9/21 10:16:52,anonymous,,Male,25,Graduate Degree,ALL,In the last day,Never,Locate specific information;Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Hard,Give up and not read the table,Can’t see all the information I need at the same time;,EASIER 
179,6/9/21 10:15:44,6/9/21 10:17:13,anonymous,,Male,28,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Easy,Use your phone anyway,Table is too wide or too tall for screen;Text is too small;Hard to tell what text is in what row;,Zooming Option
180,6/9/21 10:00:45,6/9/21 10:17:18,anonymous,,Male,49,Bachelor's Degree,Product Specifications,In the last day,More than once,Locate specific information;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;Finance / Money / Receipt / Invoice;,Recent table read  on a phone,Hard,Give up and not read the table,Text is too small;Text is too close together;Can’t see all the information I need at the same time;Hard to tell what text is in what row;Hard to tell what text is in what column;Table is too wide or too tall for screen;,Text should be large and can be zoom and scroll accordingly side wise as well as up and down also so that line can be maintain to read
181,6/9/21 10:03:09,6/9/21 10:17:36,anonymous,,Male,26,Graduate Degree,Restaurant Menu,In the last day,More than once,Read the entire table word for word;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,ZOOM And Large
182,6/9/21 10:16:39,6/9/21 10:17:47,anonymous,,Male,30,Bachelor's Degree,Restaurant Menu,In the last day,Once,Read the entire table word for word;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,Use your phone anyway,Text is too small;,USE ZOOM AND LARGE SIZE
183,6/9/21 10:16:48,6/9/21 10:18:02,anonymous,,Male,27,Graduate Degree,Restaurant Menu,In the last day,Once,Read the entire table word for word;,Finance / Money / Receipt / Invoice;,A piece of furniture with a flat top and one or more legs,Easy,Give up and not read the table,Table is too wide or too tall for screen;,"An Access query can give you an answer to a simple question, perform ... Using a query makes it easier to view, add, delete, or change data in your Access database. ... want to present through a form or report is usually located in multiple tables. ... In the query design grid, in the Criteria row of the City column, delete Las ...
"
184,6/9/21 10:17:43,6/9/21 10:18:29,anonymous,,Female,25,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;Product Specifications;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Text is too small;,fair
185,6/9/21 10:15:52,6/9/21 10:18:33,anonymous,,Male,19,High School Diploma or GED,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Locate specific information;,Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;,The tables being resized automactly to the size of my phone screen
186,6/9/21 10:16:16,6/9/21 10:18:33,anonymous,,Female,35,Graduate Degree,Restaurant Menu,In the last day,Once,Copy/paste text from the table;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;,auto rotation
187,6/9/21 10:14:46,6/9/21 10:18:48,anonymous,,Male,37,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last month,Once,Locate specific information;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Easy,Use your phone anyway,Table is too wide or too tall for screen;Hard to tell what text is in what row;,"As long as I can see a full row then it is usually readable. It's nice when each column label stays visible so I know which data I'm looking at as well. But mostly I prefer that the row width be no bigger than the screen width, so that I don't have to scroll left and right."
188,6/9/21 10:18:09,6/9/21 10:19:00,anonymous,,Male,30,Bachelor's Degree,Restaurant Menu,In the last day,Once,Read the entire table word for word;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,Use your phone anyway,Text is too small;,USE ZOOM AND LARGE SIZE
189,6/9/21 10:16:46,6/9/21 10:20:27,anonymous,,Male,28,Graduate Degree,Restaurant Menu,In the last day,Once,Read the entire table word for word;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,USE ZOOM AND LARGE SIZE
190,6/9/21 10:18:51,6/9/21 10:20:32,anonymous,,Male,28,Graduate Degree,Restaurant Menu,In the last day,Once,Read the entire table word for word;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,Give up and not read the table,Text is too small;,zoom and large
191,6/9/21 10:13:58,6/9/21 10:20:56,anonymous,,Male,45,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last month,More than once,Read the entire table word for word;Locate specific information;Copy/paste text from the table;,Finance / Money / Receipt / Invoice;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Text is too close together;Text is too small;Hard to tell what text is in what row;,"An Access query can give you an answer to a simple question, perform ... Using a query makes it easier to view, add, delete, or change data in your Access database. ... want to present through a form or report is usually located in multiple tables. ... In the query design grid, in the Criteria row of the City column, delete Las ...
"
192,6/9/21 10:17:42,6/9/21 10:21:17,anonymous,,Female,47,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,bigger the words and table
193,6/9/21 10:19:24,6/9/21 10:22:18,anonymous,,Female,32,Bachelor's Degree,"Schedule (Bus, event calendar, time sheet, etc.)",In the last day,More than once,Read the entire table word for word;Analyze/compare rows or columns;,"Schedule (Bus, event calendar, time sheet, etc.);Product Specifications;Finance / Money / Receipt / Invoice;Restaurant Menu;",Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;Text is too close together;Hard to tell what text is in what row;Hard to tell what text is in what column;,"I would like that when I place my phone in landscape that the table follows the same pattern and does not stay in rectangular. I also would like columns to be embolden with thick lines, to allow myself to maintain organization when viewing the data, specially with spreadsheets, which are the hardest to view on my Iphone. "
194,6/9/21 10:17:24,6/9/21 10:23:15,anonymous,,Male,30,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,Zooming the table.
195,6/9/21 10:20:49,6/9/21 10:23:22,anonymous,,Male,30,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last week,More than once,Read the entire table word for word;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too close together;Table is too wide or too tall for screen;,I has easy to view anytime if i need some references and amount of the food 
196,6/9/21 10:21:40,6/9/21 10:23:26,anonymous,,Female,41,Bachelor's Degree,"Schedule (Bus, event calendar, time sheet, etc.)",In the last day,More than once,Locate specific information;,"Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Hard to tell what text is in what row;,"Make a program that reformats them into easier form, or you type in the information you're looking for, and it pops up."
197,6/9/21 10:20:51,6/9/21 10:23:30,anonymous,,Male,29,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;,A table is a grid of cells arranged in rows and columns.
198,6/9/21 10:16:42,6/9/21 10:23:41,anonymous,,Male,20,Undergraduate Student,Restaurant Menu,In the last week,Never,Locate specific information;,Restaurant Menu;Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Table is too wide or too tall for screen;,It would be easier if they were adjusted to the resolution of a cell phone.
199,6/9/21 10:22:24,6/9/21 10:23:42,anonymous,,Male,28,Graduate Degree,Restaurant Menu,In the last day,Once,Read the entire table word for word;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,USE ZOOM AND LARGE SIZE
200,6/9/21 10:22:24,6/9/21 10:23:53,anonymous,,Male,29,Graduate Degree,Restaurant Menu,In the last week,Once,Locate specific information;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Easy,Give up and not read the table,Text is too small;Table is too wide or too tall for screen;,"A table is a grid of cells arranged in rows and columns. ... In Word, you can create a blank table, convert text to a table, and apply a variety of styles and formats to ... If the insertion point is in the last cell, pressing the Tab key will automatically create a new row. ... You may need to experiment to get the exact look you want.
"
201,6/9/21 10:22:13,6/9/21 10:24:05,anonymous,,Male,30,Graduate Degree,Finance / Money / Receipt / Invoice,In the last day,More than once,Read the entire table word for word;,Restaurant Menu;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Text is too close together;Table is too wide or too tall for screen;,rotating phone is easy way view full screen.
202,6/9/21 10:20:50,6/9/21 10:24:18,anonymous,,Male,30,Graduate Degree,Restaurant Menu,In the last day,Once,Read the entire table word for word;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,USE ZOOM AND LARGE SIZE
203,6/9/21 10:01:00,6/9/21 10:24:19,anonymous,,Female,52,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last month,More than once,Analyze/compare rows or columns;Locate specific information;,Nutrition / Ingredient list / Dosage chart;Restaurant Menu;Finance / Money / Receipt / Invoice;Product Specifications;,"What you eat your breakfast, lunch, or dinner on",Easy,Use your phone anyway,Table is too wide or too tall for screen;Text is too close together;Hard to tell what text is in what row;,the way and the presentation were the information provided helps me to make us easier to use
204,6/9/21 10:23:51,6/9/21 10:25:16,anonymous,,Male,20,Undergraduate Student,Restaurant Menu,In the last week,Never,Locate specific information;,Restaurant Menu;Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Table is too wide or too tall for screen;,It would be easier if they were adjusted to the resolution of a cell phone.
205,6/9/21 10:24:39,6/9/21 10:25:17,anonymous,,Male,27,Graduate Degree,Product Specifications,In the last day,Once,Read the entire table word for word;,Finance / Money / Receipt / Invoice;,A piece of furniture with a flat top and one or more legs,Easy,Give up and not read the table,Table is too wide or too tall for screen;,"A table is a grid of cells arranged in rows and columns. ... In Word, you can create a blank table, convert text to a table, and apply a variety of styles and formats to ... If the insertion point is in the last cell, pressing the Tab key will automatically create a new row. ... You may need to experiment to get the exact look you want.
"
206,6/9/21 10:23:36,6/9/21 10:25:45,anonymous,,Male,33,Bachelor's Degree,"Schedule (Bus, event calendar, time sheet, etc.)",More than a month ago,Never,Locate specific information;Read the entire table word for word;Copy/paste text from the table;,"Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Schedule (Bus, event calendar, time sheet, etc.);Finance / Money / Receipt / Invoice;Product Specifications;","What you eat your breakfast, lunch, or dinner on",Very Easy,Give up and not read the table,Text is too small;,easy
207,6/9/21 10:21:03,6/9/21 10:25:53,anonymous,,Male,62,High School Diploma or GED,Finance / Money / Receipt / Invoice,In the last day,More than once,Locate specific information;Analyze/compare rows or columns;,"Finance / Money / Receipt / Invoice;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Text is too close together;Table is too wide or too tall for screen;,colors for table
208,6/9/21 10:24:54,6/9/21 10:26:03,anonymous,,Female,33,High School Diploma or GED,Product Specifications,In the last week,Never,Locate specific information;,Product Specifications;,"What you eat your breakfast, lunch, or dinner on",Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;,if it would zoom in and turn it into desktop view right away
209,6/9/21 10:11:20,6/9/21 10:26:19,anonymous,,Female,36,Bachelor's Degree,Restaurant Menu,In the last week,Never,Locate specific information;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,I LOVE TABLES
210,6/9/21 10:12:16,6/9/21 10:26:26,anonymous,,Male,37,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,More than once,Locate specific information;,Nutrition / Ingredient list / Dosage chart;Product Specifications;Restaurant Menu;Finance / Money / Receipt / Invoice;,"What you eat your breakfast, lunch, or dinner on",Very Easy,Print out the table,Text is too small;,By using my knowledge and application of special applications.
211,6/9/21 10:10:28,6/9/21 10:26:44,anonymous,,Male,36,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Never,Locate specific information;Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Can’t see all the information I need at the same time;,The ability to click on each section and bring up a zoomed in window of the text so it's easier to read. 
212,6/9/21 10:24:02,6/9/21 10:26:55,anonymous,,Female,45,Bachelor's Degree,Product Specifications,In the last week,More than once,Read the entire table word for word;Locate specific information;Analyze/compare rows or columns;,"Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;Finance / Money / Receipt / Invoice;Schedule (Bus, event calendar, time sheet, etc.);",A website that has lots of information on it,Hard,Use your phone anyway,Text is too small;Text is too close together;Hard to tell what text is in what row;Hard to tell what text is in what column;,ZOOMING FULL SCREEN
213,6/9/21 10:24:53,6/9/21 10:27:31,anonymous,,Male,36,Graduate Degree,Product Specifications,In the last day,More than once,Locate specific information;Analyze/compare rows or columns;Read the entire table word for word;,Restaurant Menu;Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;Product Specifications;,Text/Numbers arranged in rows and columns,Neither Easy nor Hard,Use your phone anyway,Can’t see all the information I need at the same time;Text is too small;,Utilizing all the real estate on the screen and being able to view all info on one page.
214,6/9/21 10:17:23,6/9/21 10:27:39,anonymous,,Male,34,Graduate Student,Finance / Money / Receipt / Invoice,In the last week,Once,Locate specific information;Read the entire table word for word;Analyze/compare rows or columns;Edit the table;Copy/paste text from the table;,Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;,A piece of furniture with a flat top and one or more legs,Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Table is too wide or too tall for screen;Text is too close together;Hard to tell what text is in what row;,In font size big and arrange the columns and rows in particular order
215,6/9/21 10:23:58,6/9/21 10:29:05,anonymous,,Male,34,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Locate specific information;Analyze/compare rows or columns;Read the entire table word for word;Copy/paste text from the table;,Nutrition / Ingredient list / Dosage chart;Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Can’t see all the information I need at the same time;Hard to tell what text is in what row;,Application
216,6/9/21 10:27:36,6/9/21 10:29:16,anonymous,,Female,58,Prefer not to say,Finance / Money / Receipt / Invoice,In the last day,More than once,Read the entire table word for word;,Finance / Money / Receipt / Invoice;,A piece of furniture with a flat top and one or more legs,Neither Easy nor Hard,Use your phone anyway,Table is too wide or too tall for screen;,using an app
217,6/9/21 10:27:46,6/9/21 10:29:21,anonymous,,Male,28,Bachelor's Degree,Restaurant Menu,In the last day,More than once,Read the entire table word for word;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,Use your phone anyway,Text is too small;,zoom and large word
